eta,ns
3.989949748743717994e-02,9.601005025125628478e-01
4.010050251256280784e-02,9.598994974874371922e-01
4.030150753768843574e-02,9.596984924623115365e-01
4.050251256281406365e-02,9.594974874371859919e-01
4.070351758793969155e-02,9.592964824120603362e-01
4.090452261306531945e-02,9.590954773869346806e-01
4.110552763819095429e-02,9.588944723618090249e-01
4.130653266331658219e-02,9.586934673366833692e-01
4.150753768844221009e-02,9.584924623115578246e-01
4.170854271356783799e-02,9.582914572864321689e-01
4.190954773869346589e-02,9.580904522613065133e-01
4.211055276381909379e-02,9.578894472361808576e-01
4.231155778894472169e-02,9.576884422110553130e-01
4.251256281407034959e-02,9.574874371859296573e-01
4.271356783919597749e-02,9.572864321608040017e-01
4.291457286432160539e-02,9.570854271356783460e-01
4.311557788944723330e-02,9.568844221105528014e-01
4.331658291457286120e-02,9.566834170854271457e-01
4.351758793969848910e-02,9.564824120603014901e-01
4.371859296482411700e-02,9.562814070351758344e-01
4.391959798994974490e-02,9.560804020100502898e-01
4.412060301507537974e-02,9.558793969849246341e-01
4.432160804020100764e-02,9.556783919597989785e-01
4.452261306532663554e-02,9.554773869346733228e-01
4.472361809045226344e-02,9.552763819095477782e-01
4.492462311557789134e-02,9.550753768844221225e-01
4.512562814070351924e-02,9.548743718592964669e-01
4.532663316582914714e-02,9.546733668341708112e-01
4.552763819095477504e-02,9.544723618090452666e-01
4.572864321608040294e-02,9.542713567839196109e-01
4.592964824120603085e-02,9.540703517587939553e-01
4.613065326633165875e-02,9.538693467336682996e-01
4.633165829145728665e-02,9.536683417085427550e-01
4.653266331658291455e-02,9.534673366834170993e-01
4.673366834170854245e-02,9.532663316582914437e-01
4.693467336683417035e-02,9.530653266331657880e-01
4.713567839195979825e-02,9.528643216080402434e-01
4.733668341708542615e-02,9.526633165829145877e-01
4.753768844221105405e-02,9.524623115577889321e-01
4.773869346733668195e-02,9.522613065326632764e-01
4.793969849246230985e-02,9.520603015075377318e-01
4.814070351758793775e-02,9.518592964824120761e-01
4.834170854271356566e-02,9.516582914572864205e-01
4.854271356783919356e-02,9.514572864321607648e-01
4.874371859296482146e-02,9.512562814070352202e-01
4.894472361809044936e-02,9.510552763819095645e-01
4.914572864321607726e-02,9.508542713567839089e-01
4.934673366834170516e-02,9.506532663316582532e-01
4.954773869346733306e-02,9.504522613065327086e-01
4.974874371859296096e-02,9.502512562814070529e-01
4.994974874371858886e-02,9.500502512562813973e-01
5.015075376884421676e-02,9.498492462311557416e-01
5.035175879396984466e-02,9.496482412060301970e-01
5.055276381909547256e-02,9.494472361809045413e-01
5.075376884422110046e-02,9.492462311557788857e-01
5.095477386934672837e-02,9.490452261306532300e-01
5.115577889447235627e-02,9.488442211055276854e-01
5.135678391959798417e-02,9.486432160804020297e-01
5.155778894472361207e-02,9.484422110552763741e-01
5.175879396984923997e-02,9.482412060301507184e-01
5.195979899497486787e-02,9.480402010050251738e-01
5.216080402010049577e-02,9.478391959798995181e-01
5.236180904522612367e-02,9.476381909547738625e-01
5.256281407035175157e-02,9.474371859296482068e-01
5.276381909547737947e-02,9.472361809045226622e-01
5.296482412060300737e-02,9.470351758793970065e-01
5.316582914572863527e-02,9.468341708542713508e-01
5.336683417085426318e-02,9.466331658291456952e-01
5.356783919597989108e-02,9.464321608040201506e-01
5.376884422110551898e-02,9.462311557788944949e-01
5.396984924623114688e-02,9.460301507537688392e-01
5.417085427135677478e-02,9.458291457286431836e-01
5.437185929648240268e-02,9.456281407035176390e-01
5.457286432160803058e-02,9.454271356783919833e-01
5.477386934673365848e-02,9.452261306532663276e-01
5.497487437185928638e-02,9.450251256281406720e-01
5.517587939698491428e-02,9.448241206030151274e-01
5.537688442211055606e-02,9.446231155778894717e-01
5.557788944723618396e-02,9.444221105527638160e-01
5.577889447236181186e-02,9.442211055276381604e-01
5.597989949748743976e-02,9.440201005025126157e-01
5.618090452261306766e-02,9.438190954773869601e-01
5.638190954773869557e-02,9.436180904522613044e-01
5.658291457286432347e-02,9.434170854271356488e-01
5.678391959798995137e-02,9.432160804020099931e-01
5.698492462311557927e-02,9.430150753768844485e-01
5.718592964824120717e-02,9.428140703517587928e-01
5.738693467336683507e-02,9.426130653266331372e-01
5.758793969849246297e-02,9.424120603015075925e-01
5.778894472361809087e-02,9.422110552763819369e-01
5.798994974874371877e-02,9.420100502512562812e-01
5.819095477386934667e-02,9.418090452261306256e-01
5.839195979899497457e-02,9.416080402010049699e-01
5.859296482412060247e-02,9.414070351758794253e-01
5.879396984924623037e-02,9.412060301507537696e-01
5.899497487437185828e-02,9.410050251256281140e-01
5.919597989949748618e-02,9.408040201005025693e-01
5.939698492462311408e-02,9.406030150753769137e-01
5.959798994974874198e-02,9.404020100502512580e-01
5.979899497487436988e-02,9.402010050251256024e-01
5.999999999999999778e-02,9.399999999999999467e-01
