k_Mpc_inv,fNL_iso,fNL_aniso_envelope
1.329043611046532897e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.402527932021080233e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.480075284023509630e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.561910316624159168e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.648270100521610220e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.739404814320884543e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.835578469284381208e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.937069674155113898e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.044172442267884617e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.157197043286552071e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.276470902034791288e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.402339547024263447e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.535167611427936936e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.675339889398373271e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.823262450791038646e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.979363817521924648e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.144096204967312224e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.317936832001923904e+04,7.195889974422310819e-17,7.921742865392352971e-27
3.501389303470579034e+04,7.195889974422310819e-17,8.821964700032961714e-27
3.694985069098220265e+04,7.195889974422310819e-17,9.824487172971704376e-27
3.899284963064805197e+04,7.195889974422310819e-17,1.094093566385784407e-26
4.114880828704949818e+04,7.195889974422310819e-17,1.218425665311021736e-26
4.342397233039088314e+04,1.439177994884462164e-16,2.713773570194158825e-26
4.582493276102989330e+04,1.439177994884462164e-16,3.022165077425727864e-26
4.835864500317141210e+04,1.439177994884462164e-16,3.365601999933322842e-26
5.103244905427325284e+04,2.158766992326693246e-16,5.622100314720593359e-26
5.385409074853528000e+04,2.878355989768924328e-16,8.347989638018885808e-26
5.683174419607080199e+04,3.597944987211155163e-16,1.162081235692753568e-25
5.997403546276527049e+04,4.317533984653386491e-16,1.552967292281995504e-25
6.329006755942040036e+04,5.037122982095617820e-16,2.017686428758974873e-25
6.678944681257750199e+04,6.476300976980079490e-16,2.888967901821689963e-25
7.048231069341223338e+04,7.915478971864542147e-16,3.932216911061511945e-25
7.437935718532088504e+04,1.007424596419123564e-15,5.573363786732188961e-25
7.849187577527349640e+04,1.223301295651792913e-15,7.536728165054266525e-25
8.283178015871404205e+04,1.511136894628685247e-15,1.036806709649678510e-24
8.741164275275121327e+04,1.870931393349800764e-15,1.429540377585274559e-24
9.224473111762259214e+04,2.374643691559362644e-15,2.020605788429734293e-24
9.734504639194291667e+04,2.878355989768924130e-15,2.727546846790630705e-24
1.027273638530794706e+05,3.597944987211155163e-15,3.796879425548170915e-24
1.084072757201585337e+05,4.461451784141832560e-15,5.243159450038790851e-24
1.144012363236962265e+05,5.540835280305179109e-15,7.251647336337292143e-24
1.207266097727103188e+05,6.908054375445418386e-15,1.006843005516776469e-23
1.274017202574001712e+05,8.563109069562550392e-15,1.389895215827747993e-23
1.344459051331186784e+05,1.057795826240079634e-14,1.912040150475312852e-23
1.418795709394168516e+05,1.309651975344860574e-14,2.636304890033186220e-23
1.497242525164445979e+05,1.626271134219442102e-14,3.645669212433286059e-23
1.580026753899641335e+05,2.022045082812669249e-14,5.048004294568796084e-23
1.667388216057012614e+05,2.504169711098964056e-14,6.962051219456947256e-23
1.759579992037508928e+05,3.108624468950438313e-14,9.624679825858775620e-23
1.856869155343037564e+05,3.849801136315936103e-14,1.327397210660958824e-22
1.959537546270795574e+05,4.778070943016414561e-14,1.834677658057797026e-22
2.067882588386045245e+05,5.922217448949561225e-14,2.532422144275018946e-22
2.182218150138591591e+05,7.347003663885179206e-14,3.498699022226564565e-22
2.302875454119004717e+05,9.117192597593067830e-14,4.835061814179647740e-22
2.430204036588645540e+05,1.130474314981745067e-13,6.676458828072785957e-22
2.564572760063189489e+05,1.401759367017466184e-13,9.219418234027411745e-22
2.706370881883041002e+05,1.738527017820430250e-13,1.273374265499253818e-21
2.856009181866185390e+05,2.155888636336924218e-13,1.758512752167285213e-21
3.013921152310292237e+05,2.673992714495330940e-13,2.428980300529654664e-21
3.180564253791326191e+05,3.316585689211243061e-13,3.355054425836190372e-21
3.356421240396704525e+05,4.113170709379792879e-13,4.633718598960867297e-21
3.542001558232087409e+05,5.101166402867975643e-13,6.399808612432970641e-21
3.737842821253184811e+05,6.325906876514653596e-13,8.838221154609109724e-21
3.944512368697975180e+05,7.845678839112645436e-13,1.220723122295086213e-20
4.162608908631100203e+05,9.729562834416406806e-13,1.685871798666983135e-20
4.392764252361689578e+05,1.206678789810877242e-12,2.328452978338810791e-20
4.635645144759113318e+05,1.496529237980607940e-12,3.215922494235177005e-20
4.891955195768909762e+05,1.855963942203002370e-12,4.441549187550344922e-20
5.162436918724501738e+05,2.301749326118464486e-12,6.134335722281968431e-20
5.447873881359373918e+05,2.854681511753075066e-12,8.472503413817639304e-20
5.749092975751189515e+05,3.540305908516032760e-12,1.170144388635847032e-19
6.066966813773668837e+05,4.390644226793517375e-12,1.616112116955376965e-19
6.402416254995701602e+05,5.445273861444850843e-12,2.232068609302933858e-19
6.756413074350857642e+05,6.753198823195850493e-12,3.082775674609245617e-19
7.129982777305355994e+05,8.375224382330383744e-12,4.257683874751003408e-19
7.524207570679858327e+05,1.038690738357988397e-11,5.880412540220336706e-19
