k_Mpc_inv,fNL
6.335804992658247592e+00,0.000000000000000000e+00
6.604193962330305645e+00,0.000000000000000000e+00
6.883952069645496330e+00,0.000000000000000000e+00
7.175560918936928267e+00,0.000000000000000000e+00
7.479522515621821022e+00,0.000000000000000000e+00
7.796360130405228794e+00,0.000000000000000000e+00
8.126619200091946382e+00,0.000000000000000000e+00
8.470868266557403103e+00,0.000000000000000000e+00
8.829699955494092478e+00,0.000000000000000000e+00
9.203731996618220279e+00,0.000000000000000000e+00
9.593608287093147169e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00
1.042360673976401131e+01,0.000000000000000000e+00
1.086515774652537303e+01,0.000000000000000000e+00
1.132541315152812622e+01,0.000000000000000000e+00
1.180516528568805512e+01,0.000000000000000000e+00
1.230524004359261525e+01,0.000000000000000000e+00
1.282649830528059809e+01,0.000000000000000000e+00
1.336983741824945149e+01,0.000000000000000000e+00
1.393619274224143467e+01,0.000000000000000000e+00
1.452653925946781222e+01,0.000000000000000000e+00
1.514189325304351996e+01,0.000000000000000000e+00
1.578331405652116537e+01,0.000000000000000000e+00
1.645190587753660694e+01,0.000000000000000000e+00
1.714881969870540956e+01,0.000000000000000000e+00
1.787525525904235479e+01,0.000000000000000000e+00
1.863246311931559873e+01,0.000000000000000000e+00
1.942174681489024479e+01,0.000000000000000000e+00
2.024446509976801778e+01,0.000000000000000000e+00
2.110203428568596706e+01,0.000000000000000000e+00
2.199593068030074861e+01,0.000000000000000000e+00
2.292769312865648601e+01,0.000000000000000000e+00
2.389892566231047866e+01,0.000000000000000000e+00
2.491130026067791192e+01,0.000000000000000000e+00
2.596655972934872381e+01,0.000000000000000000e+00
2.706652070033241131e+01,0.000000000000000000e+00
2.821307675939470627e+01,0.000000000000000000e+00
2.940820170587060645e+01,0.000000000000000000e+00
3.065395295056529790e+01,0.000000000000000000e+00
3.195247505759213524e+01,0.000000000000000000e+00
3.330600343624588788e+01,0.000000000000000000e+00
3.471686818926559681e+01,0.000000000000000000e+00
3.618749812411276423e+01,0.000000000000000000e+00
3.772042493417001197e+01,0.000000000000000000e+00
3.931828755705770106e+01,0.000000000000000000e+00
4.098383671757261482e+01,0.000000000000000000e+00
4.271993966306776969e+01,0.000000000000000000e+00
4.452958509942650522e+01,0.000000000000000000e+00
4.641588833612782139e+01,0.000000000000000000e+00
4.838209664925957298e+01,0.000000000000000000e+00
5.043159487171358535e+01,0.000000000000000000e+00
5.256791122018419316e+01,0.000000000000000000e+00
5.479472336900281704e+01,0.000000000000000000e+00
5.711586478126434940e+01,0.000000000000000000e+00
5.953533130814370367e+01,0.000000000000000000e+00
6.205728806776500761e+01,0.000000000000000000e+00
6.468607661546320742e+01,0.000000000000000000e+00
6.742622241778335024e+01,0.000000000000000000e+00
7.028244264308352740e+01,0.000000000000000000e+00
7.325965428215229736e+01,0.000000000000000000e+00
7.636298261282242095e+01,0.000000000000000000e+00
7.959777002314977778e+01,0.000000000000000000e+00
8.296958520834914452e+01,0.000000000000000000e+00
8.648423275731727244e+01,0.000000000000000000e+00
9.014776314524917211e+01,0.000000000000000000e+00
9.396648314954690306e+01,0.000000000000000000e+00
9.794696670695385876e+01,0.000000000000000000e+00
1.020960662306047624e+02,0.000000000000000000e+00
1.064209244064724658e+02,0.000000000000000000e+00
1.109289864895222735e+02,0.000000000000000000e+00
1.156280131207375348e+02,0.000000000000000000e+00
1.205260936870841419e+02,0.000000000000000000e+00
1.256316602474121424e+02,0.000000000000000000e+00
1.309535020482667562e+02,0.000000000000000000e+00
1.365007806546013853e+02,0.000000000000000000e+00
1.422830457214352009e+02,0.000000000000000000e+00
1.483102514336102900e+02,0.000000000000000000e+00
1.545927736419478435e+02,0.000000000000000000e+00
1.611414277253019804e+02,0.000000000000000000e+00
1.679674872092653288e+02,0.000000000000000000e+00
1.750827031735723267e+02,0.000000000000000000e+00
1.824993244816150479e+02,0.000000000000000000e+00
1.902301188668945713e+02,0.000000000000000000e+00
1.982883949127071332e+02,0.000000000000000000e+00
2.066880249629082016e+02,0.000000000000000000e+00
2.154434690031882269e+02,0.000000000000000000e+00
2.245697995539771625e+02,0.000000000000000000e+00
2.340827276178294198e+02,0.000000000000000000e+00
2.439986297259550270e+02,0.000000000000000000e+00
2.543345761304648249e+02,0.000000000000000000e+00
2.651083601908536025e+02,0.000000000000000000e+00
2.763385290053172412e+02,0.000000000000000000e+00
2.880444153396297793e+02,0.000000000000000000e+00
3.002461709085549160e+02,0.000000000000000000e+00
3.129648010670750296e+02,0.000000000000000000e+00
3.262222009711666715e+02,0.000000000000000000e+00
3.400411932703709681e+02,0.000000000000000000e+00
3.544455673970435328e+02,0.000000000000000000e+00
3.694601205199302285e+02,0.000000000000000000e+00
3.851107002325568942e+02,0.000000000000000000e+00
4.014242490499318023e+02,0.000000000000000000e+00
4.184288507901584353e+02,0.000000000000000000e+00
4.361537789208005620e+02,0.000000000000000000e+00
4.546295469532399238e+02,0.000000000000000000e+00
4.738879609717650965e+02,0.000000000000000000e+00
4.939621743878315669e+02,0.000000000000000000e+00
5.148867450137497599e+02,0.000000000000000000e+00
5.366976945540476436e+02,0.000000000000000000e+00
5.594325706169377099e+02,0.000000000000000000e+00
5.831305113526218520e+02,0.000000000000000000e+00
6.078323128297223548e+02,0.000000000000000000e+00
6.335804992658254378e+02,0.000000000000000000e+00
6.604193962330305112e+02,0.000000000000000000e+00
6.883952069645496294e+02,0.000000000000000000e+00
7.175560918936921553e+02,0.000000000000000000e+00
7.479522515621813454e+02,0.000000000000000000e+00
7.796360130405237214e+02,0.000000000000000000e+00
8.126619200091945459e+02,0.000000000000000000e+00
