log10_xi,log10_M_GeV,delta_C,allowed_GRB_dL,observable,H0_window
-2.950000000000000000e+01,1.130000000000000071e+01,7.217096164232647239e-268,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.950000000000000000e+01,1.140000000000000036e+01,1.812852592983602400e-268,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.950000000000000000e+01,1.150000000000000000e+01,4.553679830642444116e-269,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.950000000000000000e+01,1.159999999999999964e+01,1.143832658003108011e-269,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.950000000000000000e+01,1.169999999999999929e+01,2.873177733556886592e-270,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.950000000000000000e+01,1.180000000000000071e+01,7.217096164247126244e-271,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.950000000000000000e+01,1.190000000000000036e+01,1.812852592994615811e-271,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.950000000000000000e+01,1.200000000000000000e+01,4.553679830541572670e-272,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.950000000000000000e+01,1.209999999999999964e+01,1.143832657878562266e-272,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.950000000000000000e+01,1.219999999999999929e+01,2.873177732558462097e-273,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.950000000000000000e+01,1.230000000000000071e+01,7.217096173133445496e-274,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.950000000000000000e+01,1.240000000000000036e+01,1.812852601160423052e-274,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.950000000000000000e+01,1.250000000000000000e+01,4.553679884408452335e-275,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.950000000000000000e+01,1.259999999999999964e+01,1.143832648957932446e-275,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
